LocationID,Borough,Zone
191,Queens,Queens Village
192,Queens,Queensboro Hill
193,Queens,Queensbridge/Ravenswood
196,Queens,Rego Park
197,Queens,Richmond Hill
198,Queens,Ridgewood
201,Queens,Rockaway Park
203,Queens,Rosedale
205,Queens,Saint Albans
207,Queens,Saint Michaels Cemetery/Woodside
215,Queens,South Jamaica
216,Queens,South Ozone Park
218,Queens,Springfield Gardens North
219,Queens,Springfield Gardens South
223,Queens,Steinway
226,Queens,Sunnyside
252,Queens,Whitestone
253,Queens,Willets Point
258,Queens,Woodhaven
260,Queens,Woodside
5,Staten Island,Arden Heights
6,Staten Island,Arrochar/Fort Wadsworth
23,Staten Island,Bloomfield/Emerson Hill
44,Staten Island,Charleston/Tottenville
84,Staten Island,Eltingville/Annadale/Prince's Bay
99,Staten Island,Freshkills Park
109,Staten Island,Great Kills
110,Staten Island,Great Kills Park
115,Staten Island,Grymes Hill/Clifton
118,Staten Island,Heartland Village/Todt Hill
156,Staten Island,Mariners Harbor
172,Staten Island,New Dorp/Midland Beach
176,Staten Island,Oakwood
187,Staten Island,Port Richmond
204,Staten Island,Rossville/Woodrow
206,Staten Island,Saint George/New Brighton
214,Staten Island,South Beach/Dongan Hills
221,Staten Island,Stapleton
245,Staten Island,West Brighton
251,Staten Island,Westerleigh
264,Unknown,Unknown
265,Unknown,Unknown
